opportunity_id,match_id,match_date,league,country,home_team,away_team,home_score,away_score,match_status,minute,red_cards_home,red_cards_away,season,round,rule_slug,rule_name,bet_type,opportunity_type,confidence_score,team_analyzed,outcome,home_team_rank,away_team_rank,home_confidence,away_confidence,home_consecutive_losses,away_consecutive_losses,home_consecutive_draws,away_consecutive_draws,home_consecutive_no_goals,away_consecutive_no_goals,created_at
165,890,2025-11-02 21:00,Premier League,England,West Ham,Newcastle,3,1,finished,N/A,0,0,2025,10,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,West Ham,win,19,12,0.5,0.0,3,0,0,0,0,0,2025-10-29 00:11:28
164,936,2025-11-02 18:15,Eredivisie,Netherlands,Heracles,Zwolle,8,2,finished,N/A,0,0,2025,11,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.55,Heracles,win,18,16,0.55,0.0,3,0,0,2,2,0,2025-10-29 00:11:28
163,935,2025-11-02 03:00,Eredivisie,Netherlands,Telstar,Excelsior,2,2,finished,N/A,0,0,2025,11,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,Telstar,win,17,14,0.5,0.0,3,1,0,0,1,1,2025-10-29 00:11:28
162,889,2025-11-02 03:00,Premier League,England,Liverpool,Aston Villa,2,0,finished,N/A,0,0,2025,10,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.625,Liverpool,win,7,8,0.625,0.0,4,0,0,0,0,0,2025-10-29 00:11:28
161,887,2025-11-01 22:00,Premier League,England,Nottingham,Manchester Utd,2,2,finished,N/A,0,0,2025,10,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.6500000000000001,Nottingham,win,18,6,0.6500000000000001,0.0,4,0,0,0,4,0,2025-10-29 00:11:28
160,886,2025-11-01 22:00,Premier League,England,Fulham,Wolves,3,0,finished,N/A,0,0,2025,10,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.575,Fulham,win,17,20,0.575,0.0,4,2,0,0,0,0,2025-10-29 00:11:28
159,907,2025-11-01 21:30,Bundesliga,Germany,St. Pauli,B. Monchengladbach,0,4,finished,N/A,0,0,2025,9,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.7000000000000001,St. Pauli,lose,14,18,0.7000000000000001,0.0,5,2,0,0,3,1,2025-10-29 00:11:28
158,905,2025-11-01 21:30,Bundesliga,Germany,Mainz,Werder Bremen,1,1,finished,N/A,0,0,2025,9,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,Mainz,win,16,9,0.5,0.0,4,0,0,0,0,0,2025-10-29 00:11:28
157,875,2025-11-01 21:00,FNL,Russia,Shinnik Yaroslavl,Chelyabinsk,1,0,finished,N/A,0,0,2025,17,consecutive_draws,Consecutive Draws Rule,win_or_lose,historical_analysis,0.7,Chelyabinsk,win,10,3,0.0,0.7,0,0,2,4,0,1,2025-10-29 00:11:28
156,924,2025-10-30 01:00,Ligue 1,France,Metz,Lens,2,0,finished,N/A,0,0,2025,10,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,Metz,win,18,2,0.5,0.0,3,0,0,0,0,0,2025-10-29 00:11:28
