opportunity_id,match_id,match_date,league,country,home_team,away_team,home_score,away_score,match_status,minute,red_cards_home,red_cards_away,season,round,rule_slug,rule_name,bet_type,opportunity_type,confidence_score,team_analyzed,outcome,home_team_rank,away_team_rank,home_confidence,away_confidence,home_consecutive_losses,away_consecutive_losses,home_consecutive_draws,away_consecutive_draws,home_consecutive_no_goals,away_consecutive_no_goals,created_at
26,683,2025-10-04 23:00,Serie A,Italy,Inter,Cremonese,4,1,finished,N/A,0,0,2025,6,consecutive_draws,Consecutive Draws Rule,win_or_lose,historical_analysis,0.6,Cremonese,win,5,7,0.0,0.6,0,0,0,3,0,0,2025-10-01 11:46:29
23,656,2025-10-05 16:00,Premier League,Russia,Orenburg,FK Rostov,0,1,finished,N/A,0,0,2025,11,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,Orenburg,lose,13,11,0.5,0.0,3,0,0,2,0,2,2025-09-29 11:15:51
22,635,2025-10-04 20:30,Bundesliga,Germany,Augsburg,Wolfsburg,3,1,finished,N/A,0,0,2025,6,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,Augsburg,win,16,12,0.5,0.0,4,2,0,0,0,2,2025-09-29 11:15:51
21,242,2025-09-28 22:00,FNL,Russia,Fakel Voronezh,FK Chayka,0,0,finished,93,1,0,2025,12,live_red_card,Live Match Red Card Rule,win,live_opportunity,0.7,FK Chayka,lose,3,18,N/A,N/A,0,5,1,0,0,0,2025-09-28 16:49:02
20,321,2025-09-30 02:00,LaLiga,Spain,Valencia,R. Oviedo,1,2,finished,N/A,0,0,2025,7,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,R. Oviedo,win,11,18,0.0,0.5,0,3,1,0,0,0,2025-09-27 18:25:04
19,413,2025-09-28 23:00,Serie A,Italy,Lecce,Bologna,2,2,finished,N/A,0,0,2025,5,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,Lecce,win,20,11,0.5,0.0,3,0,0,0,0,0,2025-09-27 18:25:04
17,318,2025-09-28 21:15,LaLiga,Spain,Elche,Celta Vigo,2,1,finished,N/A,0,0,2025,7,consecutive_draws,Consecutive Draws Rule,win_or_lose,historical_analysis,0.5,Celta Vigo,win,5,15,0.0,0.5,0,0,1,5,0,0,2025-09-27 18:25:04
15,412,2025-09-28 20:00,Serie A,Italy,Pisa,Fiorentina,0,0,finished,N/A,0,0,2025,5,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,Pisa,win,19,17,0.5,0.0,3,2,0,0,0,0,2025-09-27 18:25:04
14,530,2025-09-28 17:15,Eredivisie,Netherlands,Nijmegen,AZ Alkmaar,2,1,finished,N/A,0,0,2025,7,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.6,Nijmegen,win,8,4,0.6,0.0,3,0,0,2,0,0,2025-09-27 18:25:04
13,529,2025-09-28 02:00,Eredivisie,Netherlands,Heracles,Sparta Rotterdam,3,0,finished,N/A,0,0,2025,7,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,Heracles,win,18,11,0.5,0.0,5,1,0,0,0,0,2025-09-27 18:25:04
11,591,2025-09-28 00:00,Primeira Liga,Portugal,Estrela,AFS,3,0,finished,N/A,0,0,2025,7,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,AFS,lose,13,18,0.0,0.5,0,3,1,0,3,1,2025-09-27 18:25:04
10,464,2025-09-28 00:00,Ligue 1,France,Toulouse,Nantes,2,2,finished,N/A,0,0,2025,6,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.675,Toulouse,win,9,16,0.5,0.0,3,0,0,1,1,0,2025-09-27 18:25:04
9,359,2025-09-27 20:30,Bundesliga,Germany,Heidenheim,Augsburg,2,1,finished,N/A,0,0,2025,5,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.55,Heidenheim & Augsburg,lose,18,16,0.5,0.5,4,3,0,0,0,0,2025-09-27 18:25:04
7,242,2025-09-28 22:00,FNL,Russia,Fakel Voronezh,FK Chayka,0,0,finished,N/A,0,0,2025,12,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,FK Chayka,win,3,18,0.0,0.5,0,5,1,0,0,0,2025-09-27 09:00:00
6,139,2025-09-28 21:00,Premier League,Russia,Dynamo Makhachkala,Sochi,0,0,finished,N/A,0,0,2025,10,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,Sochi,win,12,16,0.0,0.5,0,5,1,0,0,0,2025-09-27 09:00:00
5,57,2025-09-28 02:00,Premier League,England,Tottenham,Wolves,1,1,finished,N/A,0,0,2025,6,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,Wolves,win,3,20,0.0,0.5,0,5,1,0,0,0,2025-09-27 09:00:00
4,135,2025-09-27 20:30,Premier League,Russia,Lokomotiv Moscow,Rubin Kazan,1,0,finished,N/A,0,0,2025,10,consecutive_draws,Consecutive Draws Rule,win_or_lose,historical_analysis,0.7,Lokomotiv Moscow,win,4,7,0.7,0.0,0,0,5,1,0,0,2025-09-27 09:00:00
